ID,column_1, column_2 ,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26,column_27,column_28,column_29,column_30,column_31,column_32,column_33,column_34,column_35,column_36,column_37,column_38,column_39,column_40,sugar_price
1,35.94091334, 73.664852 ,36.03200145,37.54739467,0.012068728,0.204382826," 1,650.6000 ",37.69245915,39.69007116,34.07781945,32.70856961,33.0418539,4.83310794," 1,635.0000 ", 652.2500 , 658.2500 , 658.250 ,38.96976709,25.02127896,37.49593818,7.148508776,49.23298596,10.95281184,8.09923055,21.44242195,40.98296842,28.27121602,24.82615263, 84.4500 , 3.8300 ,,35.20992998,37.185527,27.29534352,40.1513433,36.86373582,37.72330198,-45.67653557,29.59722041,28.91445576,26.08344078
2,35.44403352, 72.893853 ,35.53386235,37.0283054,0.012068728,0.204382826," 1,616.3000 ",37.17136438,39.14135959,33.60669674,32.25637666,32.82461469,4.914387545," 1,628.0000 ", 630.7500 , 638.7500 , 638.750 ,38.43101365,24.87115471,36.97756029,7.253518703,48.66387879,10.80139022,7.987259435,21.14598244,40.41638267,27.88036907,24.62294516, 81.2100 , 3.7600 ,,34.72315595,36.67144052,26.91798792,39.59625469,36.35409808,37.20178081,-45.00129079,29.38765585,28.74308013,25.05894586
3,37.05889027, 75.399594 ,37.15281176,38.71534276,0.012068728,0.204382826," 1,615.5000 ",38.86491962,40.92466928,35.13784304,33.72600136,33.53064097,4.650229258," 1,608.0000 ", 632.5000 , 654.2500 , 654.250 ,40.18195945,25.35905774,38.66228566,6.912236996,50.51347408,11.29350966,8.351164964,22.10940926,42.25778337,29.15061959,25.28336836, 82.1400 , 3.7500 ,,36.30516897,38.34221884,28.14439163,41.40028974,38.01041804,38.89672184,-47.19583274,30.06873956,29.30005,26.08243141
4,36.35497808, 74.307348 ,36.44711559,37.97996721,0.012068728,0.204382826," 1,620.4000 ",38.12670295,40.14732885,34.47042003,33.08539547,33.2228858,4.765375223," 1,595.0000 ", 592.5000 , 609.2500 , 609.250 ,39.41872637,25.14638198,37.92791791,7.061000875,49.70723992,11.07899598,8.192539415,21.68945382,41.45512121,28.59692043,24.99549147, 79.2000 , 3.6700 ,,35.61557328,37.61393057,27.60980519,40.61391518,37.28843213,38.1579011,-46.23923716,29.7718568,29.05726817,26.07665343
5,34.29845155, 71.116277 ,34.38537704,35.83151838,0.012068728,0.204382826," 1,656.0000 ",35.96995358,37.87627682,32.52049909,31.21382253,32.32375852,5.101781859," 1,599.0000 ", 592.5000 , 619.5000 , 619.500 ,37.18888989,24.52503552,35.7824134,7.495624495,47.35177291,10.4522799,7.729104268,20.46252591,39.11009005,26.97925131,24.15443988, 77.6100 , 3.6200 ,,33.60087337,35.48618768,26.04797515,38.31646932,35.17910203,35.99938692,-43.4444792,28.90449397,28.34796482,24.04100111
6,34.07761666, 70.773612 ,34.16398246,35.60081265,0.012068728,0.204382826," 1,614.7000 ",35.73835651,37.63240566,32.31111177,31.01284841,32.22720801,5.137906033," 1,584.5000 ", 587.7500 , 604.0000 , 604.000 ,36.94944455,24.4583138,35.55202384,7.542295452,47.09883705,10.38498159,7.679339459,20.33077537,38.85827482,26.80554201,24.06412569, 75.6700 , 3.6400 ,,33.38452992,35.25770541,25.88026199,38.06976392,34.95259696,35.76760034,-43.14437119,28.81135441,28.27179808,24.0094915
7,34.22943901, 71.009192 ,34.31618959,35.75942113,0.012068728,0.204382826," 1,640.3000 ",35.89757778,37.80006528,32.455064,31.15101662,32.29358577,5.113070931," 1,601.5000 ", 605.5000 , 625.2500 , 625.250 ,37.11406145,24.50418449,35.71041495,7.510209515,47.27272858,10.43124868,7.713552396,20.42135289,39.03139592,26.92496586,24.12621603, 79.6800 , 3.5700 ,,33.53326444,35.41478528,25.99556354,38.23937205,35.10831751,35.92695189,-43.35069322,28.87538716,28.32416215,24.03400282
8,34.00860412, 70.666527 ,34.09479502,35.5287154,0.012068728,0.204382826," 1,651.9000 ",35.66598071,37.55619411,32.24567668,30.95004251,32.19703526,5.149195106," 1,593.0000 ", 605.5000 , 616.0000 , 616.000 ,36.87461611,24.43746277,35.48002539,7.556880472,47.01979272,10.36395036,7.663787587,20.28960234,38.77958069,26.75125656,24.03590183, 82.5900 , 3.6000 ,,33.31692099,35.186303,25.82785038,37.99266665,34.88181245,35.69516532,-43.05058522,28.7822476,28.24799541,24.06052687
9,34.72631882, 71.780190 ,34.81432869,36.2785104,0.012068728,0.204382826," 1,634.5000 ",36.41867255,38.34877685,32.92618671,31.60320958,32.51082498,5.031791326," 1,562.5000 ", 600.0000 , 607.5000 , 607.500 ,37.65281488,24.65430874,36.22879284,7.405199588,47.84183575,10.58267029,7.825523511,20.71779239,39.59798168,27.31581281,24.3294235, 82.9800 , 3.4800 ,,34.02003847,35.92887176,26.37291915,38.79446067,35.61795526,36.44847306,-44.025938,29.08495173,28.49553777,25.06026709
10,36.27216566, 74.178849 ,36.3640933,37.89345326,0.012068728,0.204382826," 1,669.6000 ",38.03985475,40.0558779,34.39190042,33.01003078,33.18667965,4.778921679," 1,551.5000 ", 605.0000 , 611.5000 , 611.500 ,39.32893509,25.12136154,37.84152252,7.078502343,49.61238974,11.05375931,8.173877762,21.64004776,41.36069126,28.53177996,24.96162392, 85.4100 , 3.5400 ,,35.53444514,37.52825041,27.54691326,40.5214014,37.20349342,38.07098183,-46.12669756,29.73692974,29.02870587,26.0536255
11,35.80289086, 73.450685 ,35.89362917,37.40320288,0.012068728,0.204382826," 1,659.7000 ",37.54771029,39.53765094,33.94695174,32.58296018,32.98150954,4.855685658," 1,598.0000 ", 645.0000 , 660.7500 , 660.750 ,38.82011303,24.97957769,37.351944,7.177678264,49.07490029,10.91075019,8.068127394,21.36007746,40.82558314,28.16264718,24.76970599, 85.8100 , 3.6200 ,,35.07471467,37.04272488,27.19052229,39.99715168,36.72216947,37.57843467,-45.48896716,29.5390079,28.86685131,25.02545024
12,35.8995058, 73.600600 ,35.99048897,37.50413631,0.012068728,0.204382826," 1,681.3000 ",37.64903366,39.64434422,34.03855838,32.67088606,33.02375025,4.839881384," 1,635.5000 ", 640.7500 , 626.7500 , 626.750 ,38.92487001,25.00876834,37.4527391,7.157259789,49.18555935,10.9401931,8.089899425,21.41771813,40.93575194,28.23864475,24.80921832, 85.5700 , 3.4900 ,,35.16936461,37.14268554,27.26389655,40.10508493,36.8212651,37.67984095,-45.62026397,29.57975632,28.90017415,26.05095066
13,37.1417027, 75.528092 ,37.23583407,38.80185673,0.012068728,0.204382826," 1,667.3000 ",38.95176783,41.01612024,35.21636267,33.80136606,33.56684712,4.6366828," 1,640.5000 ", 638.2500 , 618.0000 , 618.000 ,40.27175075,25.38407818,38.74868107,6.894735525,50.60832428,11.31874633,8.36982662,22.15881532,42.35221333,29.21576006,25.31723592, 84.2300 , 3.5300 ,,36.38629712,38.42789902,28.20728357,41.49280353,38.09535677,38.98364112,-47.30837235,30.10366662,29.3286123,26.03508049
14,38.54952708, 77.712585 ,38.64722642,40.27260782,0.012068728,0.204382826," 1,681.8000 ",40.42820118,42.5708011,36.55120868,35.08257785,34.18235745,4.406390869," 1,662.5000 ", 640.0000 , 622.7500 , 622.750 ,41.79821691,25.80942971,40.21741659,6.597207766,52.22079261,11.7477737,8.687077719,22.99872621,43.95753765,30.32315838,25.8929897, 86.8000 , 3.7000 ,,37.7654885,39.88447557,29.27645645,43.06555266,39.53932859,40.46128259,-49.22156352,30.69743213,29.81417596,27.08748238
15,38.35629721, 77.412754 ,38.45350683,40.07074099,0.012068728,0.204382826," 1,675.5000 ",40.22555444,42.35741455,36.3679954,34.9067261,34.09787604,4.437999414," 1,652.5000 ", 640.5000 , 624.2500 , 624.250 ,41.58870296,25.75104841,40.01582641,6.638044713,51.99947449,11.68888788,8.64353366,22.88344488,43.73720007,30.17116327,25.81396505, 86.3800 , 3.6900 ,,37.57618863,39.68455426,29.12970794,42.84968617,39.34113734,40.25847003,-48.95896992,30.6159353,29.74753028,27.07655333
